site_name,bandwidth
25,15034
45,20947
48,15967
A5,13527
AL,15030
Al,8590
B2,15670
B7,17264
BJ,17214
BP,11930
BU,16794
Be,13147
C2,11490
CU,13257
Cd,13630
Cl,15930
Cq,14234
Do,19197
E1,11440
EO,17447
ET,19054
F6,12364
F9,9287
FV,14907
Fk,16400
G3,15917
Gm,7617
H2,13160
H6,14564
HT,14657
Hl,18014
Hv,13404
Ib,21384
JT,15094
JX,10780
K1,11947
K3,18070
K6,11677
KN,16247
Kp,13434
Lo,9407
MN,15787
NQ,16987
Ne,13754
Ns,17024
OX,18937
Ob,19100
PU,11417
PW,13857
PY,17470
Pp,18777
RU,10054
RW,18600
RZ,13990
Ru,15217
Ry,10437
Sq,11300
Sz,13730
T1,15280
T2,15247
Vc,16957
Vn,17377
Wp,11137
Xw,16700
Yv,14104
Zb,13127
Zc,13310
ah,12324
ar,17607
b1,10434
b5,9964
bh,10190
bv,12147
bw,12267
bx,15374
c5,16257
cf,14357
d5,12784
d8,8384
dp,14130
e2,17037
g8,17584
gm,11544
go,18354
in,12297
iu,8397
j6,16124
j7,14164
kw,16207
n9,20984
no,16177
ox,15597
p1,13657
p3,10027
px,15120
q4,12367
t1,20937
vz,12547
y4,18304
y5,11637
