site_name,bandwidth
16,3010
23,2772
37,2848
A8,2849
A9,3466
AT,2017
B5,2135
B6,3331
BG,3374
BJ,2879
BR,2362
DE,4072
DJ,3286
DX,3612
EN,3953
EP,2581
ET,4990
Ew,2945
FQ,2302
FU,2387
Fz,4874
GQ,4069
GW,3553
Gb,2715
Gj,3885
H4,1761
HX,3259
Hl,3063
Ht,3378
Jk,3561
Jl,4793
Jr,4091
Jz,4641
Kc,3934
Kv,3475
Kw,2135
Kx,3194
LO,2564
Lq,2032
N6,3739
NV,2853
Pi,2949
Pn,4681
Pr,3960
Pw,4143
Ql,3955
Qp,3942
Qv,3679
RV,4777
Re,4623
Ri,2247
Rs,3365
SU,2476
SZ,3456
Sq,4095
Sw,3192
T6,2296
U6,3607
U8,4919
UZ,4195
XY,5404
Xp,4031
Xt,2979
Yk,3026
Z1,3527
Zw,2090
a5,2166
a8,3956
b8,1971
bg,4404
bh,2478
bj,3102
bp,3866
cg,2753
d8,3261
dk,2912
e1,3799
f8,2979
fx,5010
g5,4394
jl,3017
jq,2579
kt,2732
lq,4194
m2,2953
m7,3493
no,4342
nv,3840
p1,3196
pz,2217
s1,2699
s4,3480
s6,2273
ux,4287
v3,3496
v7,3670
w6,3387
x9,2571
y1,3534
y3,2516
